title,link,thumbnail,description,view,uploadedd_time,channel,channel_url
UEFA Champions League | SF | 2nd Leg | Manchester City v Real Madrid | Highlights,https://www.youtube.com/watch?v=3Xx0H3OCE3o,https://i.ytimg.com/vi/3Xx0H3OCE3o/hqdefault.jpg?sqp=-oaymwEcCPYBEIoBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLD7YT_GBoqOiLpSCfSbcpQs9A9rlw,"Highlights of the UEFA Champions League Semifinal second Leg match between Manchester City and Real Madrid at Etihad Stadium in Manchester, England. 

Get Connected to watch the UEFA Champions...",2.7M views,1 day ago,SuperSport,https://www.youtube.com/@supersport
Kizz Daniel - Shu-Peru (Official Video),https://www.youtube.com/watch?v=s1NPXKoTGy0,https://i.ytimg.com/vi/s1NPXKoTGy0/hqdefault.jpg?sqp=-oaymwEcCPYBEIoBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLBDTfh06LDcf_lzMLO9r-Ez-wRRpw,"Listen to the single “Shu-Peru"". Out Now!
Stream: https://music.empi.re/shuperu



#KizzDaniel #ShuPeru #EMPIRE



Official Video by Kizz Daniel- ""Shu-Peru"" © 2023 Flyboy INC / EMPIRE...",4.3M views,7 days ago,SuperSport,https://www.youtube.com/@supersport
"Kenneth Okonkwo Summarises Court Proceedings Today, Frowns At Lamidi Apapa Faction invasion Of Court",https://www.youtube.com/watch?v=Z1mumhWBVfk,https://i.ytimg.com/vi/Z1mumhWBVfk/hqdefault.jpg?sqp=-oaymwEcCPYBEIoBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLBpwy4ZoDheygqcsI_F2rCXQwMO1g,"Kenneth Okonkwo Summarises Court Proceedings Today, Frowns At Lamidi Apapa Faction invasion Of Court. Lamidi Apapa Was In Court At The Presidential Election Tribunal Claiming To Be The Labour...",199K views,2 days ago,Kizz Daniel,https://www.youtube.com/channel/UC1NnPocepJaxebLAcSm0dVw
Lil Durk - All My Life ft. J. Cole (Official Video),https://www.youtube.com/watch?v=Z4N8lzKNfy4,https://i.ytimg.com/vi/Z4N8lzKNfy4/hqdefault.jpg?sqp=-oaymwEcCPYBEIoBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLBCcUEBFHpbpWbuqzn0e63_UZVFFg,"Stream “All My Life” ft J. Cole, Out Now:
https://lilDurk.lnk.to/AlmostHealed

Tour On Sale Friday:
http://almost-healed.com/

Follow Lil Durk:
https://LilDurk.lnk.to/instagram
https://LilDurk....",13M views,7 days ago,Kizz Daniel,https://www.youtube.com/channel/UC1NnPocepJaxebLAcSm0dVw
Martial And Garnacho Scoring Again! ⚽️🙌 | Man Utd 2-0 Wolves | Highlights,https://www.youtube.com/watch?v=9i4CK-Tz3mo,https://i.ytimg.com/vi/9i4CK-Tz3mo/hqdefault.jpg?sqp=-oaymwEcCPYBEIoBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLBWkVG8vcpDpMyEcssAdNJpC5vb7Q,Watch the short highlights from Manchester United's 2-0 victory over Wolves at Old Trafford in the Premier League. Goals from Alejandro Garnacho and Anthony Martial sealed the three points...,2.7M views,5 days ago,Njenje Media TV,https://www.youtube.com/@NjenjeMedia
All My Life,https://www.youtube.com/watch?v=F_oTotMOM2A,,"Provided to YouTube by Alamo

All My Life · Lil Durk · J. Cole

All My Life

℗ 2023 Alamo Records, LLC/Sony Music Entertainment

Released on: 2023-05-12

Associated Performer: Lil Durk...",2M views,7 days ago,Njenje Media TV,https://www.youtube.com/@NjenjeMedia
FIRST JOB. Brodashaggi | Sandraokunzuwatv | Officer Woss | Kamsi Gerald,https://www.youtube.com/watch?v=e5RZEPfK20U,,"FIRST JOB. Brodashaggi | Sandraokunzuwatv | Kamsi Gerald

Please SUBSCRIBE to Broda Shaggi Official YouTube Channel, Nigeria's number 1 Fine boy Agbero
https://www.youtube.com/channel/UCG6orNVuXIIC...",317K views,3 days ago,Lil Durk,https://www.youtube.com/channel/UCaxOQZrF5llUMp-JjesUz1A
UEFA Champions League | SF | 1st Leg | Real Madrid v Manchester City | Extended highlights,https://www.youtube.com/watch?v=9a7j8v-0PNY,,Highlights from the UEFA Champions League match between Real Madrid and Manchester City at the Santiago Bernabéu Stadium in Madrid,2.8M views,9 days ago,Lil Durk,https://www.youtube.com/channel/UCaxOQZrF5llUMp-JjesUz1A
"Tears As Mercy Aigbe, Odunlade Adekola, Ayo Olaiya, Lizzy Anjorin Mourn the Death of Murphy Afolabi",https://www.youtube.com/watch?v=_mjzhb484fQ,,"Tears As Mercy Aigbe, Odunlade Adekola, Ayo Olaiya, Lizzy Anjorin Mourn the Death of Murphy Afolabi
Join GboahTv channel to get access to perks:
https://www.youtube.com/channel/UCtnSiEn4KAaPtNYyRN_...",236K views,5 days ago,Manchester United,https://www.youtube.com/@manutd
Collab of the year😂 #shorts,https://www.youtube.com/shorts/tLJOcgp4k7I,,,171M views,11 days ago,Manchester United,https://www.youtube.com/@manutd
"WEYINWO - Latest 2023 Yoruba Movie Starring; Ibrahim Chatta, Kemi Afolabi, Toyin Hastrup",https://www.youtube.com/watch?v=-fCywyIscPI,,Akanke and her deaf husband are struggling to keep up with one of their daughter who is wayward and has refused to learn from her cool-headed elder sister. It turned out that there is a mystery...,228K views,7 days ago,Lil Durk,https://www.youtube.com/channel/UCaxOQZrF5llUMp-JjesUz1A
TIWA SAVAGE JUBILATES AFTER HER PERFORMANCE AT KING CHARLES CORONATION CONCERT #shorts #fyp #viral,https://www.youtube.com/shorts/b2O7VwqoBIw,,,300K views,10 days ago,Lil Durk,https://www.youtube.com/channel/UCaxOQZrF5llUMp-JjesUz1A
